,Home,Away,Year-Month-Day
4406,Charlotte,Indiana,2019-11-05
4407,Chicago,LA Lakers,2019-11-05
4408,Cleveland,Boston,2019-11-05
4409,LA Clippers,Milwaukee,2019-11-06
4410,Utah,Philadelphia,2019-11-06
4411,Houston,Golden State,2019-11-06
4412,Indiana,Washington,2019-11-06
4413,Dallas,Orlando,2019-11-06
4414,Toronto,Sacramento,2019-11-06
4415,Memphis,Minnesota,2019-11-06
4416,Detroit,New York,2019-11-06
4417,Atlanta,Chicago,2019-11-06
4418,Phoenix,Miami,2019-11-07
4419,LA Clippers,Portland,2019-11-07
4420,San Antonio,Okla City,2019-11-07
4421,Charlotte,Boston,2019-11-07
4422,Denver,Philadelphia,2019-11-08
4423,Utah,Milwaukee,2019-11-08
4424,LA Lakers,Miami,2019-11-08
4425,New Orleans,Toronto,2019-11-08
4426,Portland,Brooklyn,2019-11-08
4427,Indiana,Detroit,2019-11-08
4428,Minnesota,Golden State,2019-11-08
4429,Orlando,Memphis,2019-11-08
4430,Atlanta,Sacramento,2019-11-08
4431,Washington,Cleveland,2019-11-08
4432,Dallas,New York,2019-11-08
4433,San Antonio,Boston,2019-11-09
4434,Chicago,Houston,2019-11-09
4435,Okla City,Golden State,2019-11-09
4436,Memphis,Dallas,2019-11-09
4437,Charlotte,New Orleans,2019-11-09
4438,LA Lakers,Toronto,2019-11-10
4439,Minnesota,Denver,2019-11-10
4440,Orlando,Indiana,2019-11-10
4441,Okla City,Milwaukee,2019-11-10
4442,Portland,Atlanta,2019-11-10
4443,Phoenix,Brooklyn,2019-11-10
4444,Philadelphia,Charlotte,2019-11-10
4445,New York,Cleveland,2019-11-10
4446,LA Clippers,Toronto,2019-11-11
4447,New Orleans,Houston,2019-11-11
4448,Boston,Dallas,2019-11-11
4449,Detroit,Minnesota,2019-11-11
4450,Golden State,Utah,2019-11-11
4451,San Antonio,Memphis,2019-11-11
4452,Phoenix,LA Lakers,2019-11-12
4453,Indiana,Okla City,2019-11-12
4454,Sacramento,Portland,2019-11-12
4455,Utah,Brooklyn,2019-11-12
4456,Philadelphia,Cleveland,2019-11-12
4457,Denver,Atlanta,2019-11-12
4458,Miami,Detroit,2019-11-12
4459,Chicago,New York,2019-11-12
4460,Houston,LA Clippers,2019-11-13
4461,Portland,Toronto,2019-11-13
4462,Orlando,Philadelphia,2019-11-13
4463,Minnesota,San Antonio,2019-11-13
4464,LA Lakers,Golden State,2019-11-13
4465,Boston,Washington,2019-11-13
4466,Charlotte,Memphis,2019-11-13
4467,Denver,Brooklyn,2019-11-14
4468,New Orleans,LA Clippers,2019-11-14
4469,Cleveland,Miami,2019-11-14
4470,Phoenix,Atlanta,2019-11-14
4471,Milwaukee,Chicago,2019-11-14
4472,New York,Dallas,2019-11-14
4473,Houston,Indiana,2019-11-15
4474,Okla City,Philadelphia,2019-11-15
4475,Orlando,San Antonio,2019-11-15
4476,Memphis,Utah,2019-11-15
4477,LA Lakers,Sacramento,2019-11-15
4478,Golden State,Boston,2019-11-15
4479,Charlotte,Detroit,2019-11-15
4480,Minnesota,Washington,2019-11-15
4481,Indiana,Milwaukee,2019-11-16
4482,Minnesota,Houston,2019-11-16
4483,Dallas,Toronto,2019-11-16
4484,San Antonio,Portland,2019-11-16
4485,Chicago,Brooklyn,2019-11-16
4486,Miami,New Orleans,2019-11-16
4487,LA Clippers,Atlanta,2019-11-16
4488,New York,Charlotte,2019-11-16
4489,Cleveland,Philadelphia,2019-11-17
4490,Sacramento,Boston,2019-11-17
4491,Orlando,Washington,2019-11-17
4492,Memphis,Denver,2019-11-17
4493,New Orleans,Golden State,2019-11-17
4494,LA Lakers,Atlanta,2019-11-17
4495,Phoenix,Boston,2019-11-18
4496,Brooklyn,Indiana,2019-11-18
4497,Houston,Portland,2019-11-18
4498,LA Clippers,Okla City,2019-11-18
4499,Utah,Minnesota,2019-11-18
4500,Dallas,San Antonio,2019-11-18
4501,Chicago,Milwaukee,2019-11-18
4502,Toronto,Charlotte,2019-11-18
4503,New York,Cleveland,2019-11-18
4504,New Orleans,Portland,2019-11-19
4505,Sacramento,Phoenix,2019-11-19
4506,LA Lakers,Okla City,2019-11-19
4507,Memphis,Golden State,2019-11-19
4508,Denver,Houston,2019-11-20
4509,LA Clippers,Boston,2019-11-20
4510,Minnesota,Utah,2019-11-20
4511,Toronto,Orlando,2019-11-20
4512,Washington,San Antonio,2019-11-20
4513,Chicago,Detroit,2019-11-20
4514,Dallas,Golden State,2019-11-20
4515,Atlanta,Milwaukee,2019-11-20
4516,Miami,Cleveland,2019-11-20
4517,Brooklyn,Charlotte,2019-11-20
4518,Philadelphia,New York,2019-11-20
4519,Phoenix,New Orleans,2019-11-21
4520,Milwaukee,Portland,2019-11-21
4521,LA Clippers,Houston,2019-11-22
4522,Denver,Boston,2019-11-22
4523,Okla City,LA Lakers,2019-11-22
4524,Brooklyn,Sacramento,2019-11-22
4525,Philadelphia,San Antonio,2019-11-22
4526,Chicago,Miami,2019-11-22
4527,Dallas,Cleveland,2019-11-22
4528,Detroit,Atlanta,2019-11-22
4529,Utah,Golden State,2019-11-22
4530,Washington,Charlotte,2019-11-22
4531,Philadelphia,Miami,2019-11-23
4532,Minnesota,Phoenix,2019-11-23
4533,Utah,New Orleans,2019-11-23
4534,Indiana,Orlando,2019-11-23
4535,Cleveland,Portland,2019-11-23
4536,New York,San Antonio,2019-11-23
4537,Atlanta,Toronto,2019-11-23
4538,Charlotte,Chicago,2019-11-23
4539,Milwaukee,Detroit,2019-11-23
4540,Memphis,LA Lakers,2019-11-23
4541,Houston,Dallas,2019-11-24
4542,Denver,Phoenix,2019-11-24
4543,LA Clippers,New Orleans,2019-11-24
4544,Washington,Sacramento,2019-11-24
4545,New York,Brooklyn,2019-11-24
4546,Toronto,Philadelphia,2019-11-25
4547,Milwaukee,Utah,2019-11-25
4548,Detroit,Orlando,2019-11-25
4549,San Antonio,LA Lakers,2019-11-25
4550,Chicago,Portland,2019-11-25
4551,Golden State,Okla City,2019-11-25
4552,Atlanta,Minnesota,2019-11-25
4553,Boston,Sacramento,2019-11-25
4554,Cleveland,Brooklyn,2019-11-25
4555,Indiana,Memphis,2019-11-25
4556,Miami,Charlotte,2019-11-25
4557,Dallas,LA Clippers,2019-11-26
4558,Denver,Washington,2019-11-26
4559,Houston,Miami,2019-11-27
4560,Indiana,Utah,2019-11-27
4561,Portland,Okla City,2019-11-27
4562,New Orleans,LA Lakers,2019-11-27
4563,San Antonio,Minnesota,2019-11-27
4564,Philadelphia,Sacramento,2019-11-27
4565,Cleveland,Orlando,2019-11-27
4566,Boston,Brooklyn,2019-11-27
4567,Golden State,Chicago,2019-11-27
4568,Phoenix,Washington,2019-11-27
4569,Charlotte,Detroit,2019-11-27
4570,Memphis,LA Clippers,2019-11-27
4571,Milwaukee,Atlanta,2019-11-27
4572,Toronto,New York,2019-11-27
4573,Phoenix,Dallas,2019-11-29
4574,Orlando,Toronto,2019-11-29
4575,Okla City,New Orleans,2019-11-29
4576,Brooklyn,Boston,2019-11-29
4577,San Antonio,LA Clippers,2019-11-29
4578,LA Lakers,Washington,2019-11-29
4579,Memphis,Utah,2019-11-29
4580,Portland,Chicago,2019-11-29
4581,Cleveland,Milwaukee,2019-11-29
4582,New York,Philadelphia,2019-11-29
4583,Indiana,Atlanta,2019-11-29
4584,Miami,Golden State,2019-11-29
4585,Detroit,Charlotte,2019-11-29
4586,Philadelphia,Indiana,2019-11-30
4587,Sacramento,Denver,2019-11-30
4588,Houston,Atlanta,2019-11-30
4589,Milwaukee,Charlotte,2019-11-30
4590,LA Lakers,Dallas,2019-11-31
4591,Toronto,Utah,2019-11-31
4592,New Orleans,Okla City,2019-11-31
4593,Brooklyn,Miami,2019-11-31
4594,Detroit,San Antonio,2019-11-31
4595,LA Clippers,Washington,2019-11-31
4596,Orlando,Golden State,2019-11-31
4597,New York,Boston,2019-11-31
4598,Minnesota,Memphis,2019-11-31
4599,LA Lakers,Dallas,2019-12-01
4600,Toronto,Utah,2019-12-01
4601,New Orleans,Okla City,2019-12-01
4602,Brooklyn,Miami,2019-12-01
4603,Detroit,San Antonio,2019-12-01
4604,LA Clippers,Washington,2019-12-01
4605,Orlando,Golden State,2019-12-01
4606,New York,Boston,2019-12-01
4607,Minnesota,Memphis,2019-12-01
4608,Philadelphia,Utah,2019-12-02
4609,Memphis,Indiana,2019-12-02
4610,Charlotte,Phoenix,2019-12-02
4611,Atlanta,Golden State,2019-12-02
4612,Sacramento,Chicago,2019-12-02
4613,Milwaukee,New York,2019-12-02
4614,Denver,LA Lakers,2019-12-03
4615,Toronto,Miami,2019-12-03
4616,LA Clippers,Portland,2019-12-03
4617,New Orleans,Dallas,2019-12-03
4618,San Antonio,Houston,2019-12-03
4619,Washington,Orlando,2019-12-03
4620,Cleveland,Detroit,2019-12-03
4621,Boston,Miami,2019-12-04
4622,Utah,LA Lakers,2019-12-04
4623,Okla City,Indiana,2019-12-04
4624,Orlando,Phoenix,2019-12-04
4625,Portland,Sacramento,2019-12-04
4626,Detroit,Milwaukee,2019-12-04
4627,Dallas,Minnesota,2019-12-04
4628,Atlanta,Brooklyn,2019-12-04
4629,Chicago,Memphis,2019-12-04
4630,Charlotte,Golden State,2019-12-04
4631,Toronto,Houston,2019-12-05
4632,New Orleans,Phoenix,2019-12-05
4633,Washington,Philadelphia,2019-12-05
4634,New York,Denver,2019-12-05
4635,Boston,Denver,2019-12-06
4636,Milwaukee,LA Clippers,2019-12-06
4637,Portland,LA Lakers,2019-12-06
4638,Okla City,Minnesota,2019-12-06
4639,Detroit,Indiana,2019-12-06
4640,San Antonio,Sacramento,2019-12-06
4641,Cleveland,Orlando,2019-12-06
4642,Charlotte,Brooklyn,2019-12-06
4643,Miami,Washington,2019-12-06
4644,Chicago,Golden State,2019-12-06
4645,Houston,Phoenix,2019-12-07
4646,Dallas,New Orleans,2019-12-07
4647,Utah,Memphis,2019-12-07
4648,New York,Indiana,2019-12-07
4649,Philadelphia,Cleveland,2019-12-07
4650,Philadelphia,Toronto,2019-12-08
4651,Brooklyn,Denver,2019-12-08
4652,Portland,Okla City,2019-12-08
4653,Washington,LA Clippers,2019-12-08
4654,LA Lakers,Minnesota,2019-12-08
4655,Dallas,Sacramento,2019-12-08
4656,Miami,Chicago,2019-12-08
4657,Charlotte,Atlanta,2019-12-08
4658,Indiana,LA Clippers,2019-12-09
4659,Utah,Okla City,2019-12-09
4660,Phoenix,Minnesota,2019-12-09
4661,Houston,Sacramento,2019-12-09
4662,New Orleans,Detroit,2019-12-09
4663,Milwaukee,Orlando,2019-12-09
4664,Chicago,Toronto,2019-12-09
4665,Golden State,Memphis,2019-12-09
4666,Boston,Cleveland,2019-12-09
4667,Philadelphia,Denver,2019-12-10
4668,Charlotte,Washington,2019-12-10
4669,Miami,Atlanta,2019-12-10
4670,Portland,New York,2019-12-10
4671,Toronto,LA Clippers,2019-12-11
4672,Indiana,Boston,2019-12-11
4673,Minnesota,Utah,2019-12-11
4674,Sacramento,Okla City,2019-12-11
4675,Orlando,LA Lakers,2019-12-11
4676,Cleveland,Houston,2019-12-11
4677,Chicago,Atlanta,2019-12-11
4678,Milwaukee,New Orleans,2019-12-11
4679,Phoenix,Memphis,2019-12-11
4680,Brooklyn,Charlotte,2019-12-11
4681,Golden State,New York,2019-12-11
4682,Boston,Philadelphia,2019-12-12
4683,Denver,Portland,2019-12-12
4684,Detroit,Dallas,2019-12-12
4685,San Antonio,Cleveland,2019-12-12
4686,Miami,LA Lakers,2019-12-13
4687,Orlando,Houston,2019-12-13
4688,Minnesota,LA Clippers,2019-12-13
4689,Philadelphia,New Orleans,2019-12-13
4690,Atlanta,Indiana,2019-12-13
4691,Utah,Golden State,2019-12-13
4692,Memphis,Milwaukee,2019-12-13
4693,Chicago,Charlotte,2019-12-13
4694,Sacramento,New York,2019-12-13
4695,Dallas,Miami,2019-12-14
4696,Denver,Okla City,2019-12-14
4697,Toronto,Brooklyn,2019-12-14
4698,Houston,Detroit,2019-12-14
4699,Phoenix,San Antonio,2019-12-14
4700,Chicago,LA Clippers,2019-12-14
4701,Memphis,Washington,2019-12-14
4702,Milwaukee,Cleveland,2019-12-14
4703,Brooklyn,Philadelphia,2019-12-15
4704,New Orleans,Orlando,2019-12-15
4705,Golden State,Sacramento,2019-12-15
4706,Atlanta,LA Lakers,2019-12-15
4707,Indiana,Charlotte,2019-12-15
4708,Denver,New York,2019-12-15
4709,Milwaukee,Dallas,2019-12-16
4710,Phoenix,Portland,2019-12-16
4711,Okla City,Chicago,2019-12-16
4712,Houston,San Antonio,2019-12-16
4713,Detroit,Washington,2019-12-16
4714,Memphis,Miami,2019-12-16
4715,Toronto,Cleveland,2019-12-16
4716,Indiana,LA Lakers,2019-12-17
4717,Utah,Orlando,2019-12-17
4718,LA Clippers,Phoenix,2019-12-17
4719,New Orleans,Brooklyn,2019-12-17
4720,Charlotte,Sacramento,2019-12-17
4721,New York,Atlanta,2019-12-17
4722,Dallas,Boston,2019-12-18
4723,Philadelphia,Miami,2019-12-18
4724,Detroit,Toronto,2019-12-18
4725,Denver,Orlando,2019-12-18
4726,Okla City,Memphis,2019-12-18
4727,Washington,Chicago,2019-12-18
4728,Minnesota,New Orleans,2019-12-18
4729,Portland,Golden State,2019-12-18
4730,Cleveland,Charlotte,2019-12-18
4731,Milwaukee,LA Lakers,2019-12-19
4732,LA Clippers,Houston,2019-12-19
4733,San Antonio,Brooklyn,2019-12-19
4734,Atlanta,Utah,2019-12-19
4735,Philadelphia,Dallas,2019-12-20
4736,Portland,Orlando,2019-12-20
4737,Okla City,Phoenix,2019-12-20
4738,Indiana,Sacramento,2019-12-20
4739,Boston,Detroit,2019-12-20
4740,Denver,Minnesota,2019-12-20
4741,Toronto,Washington,2019-12-20
4742,Golden State,New Orleans,2019-12-20
4743,Cleveland,Memphis,2019-12-20
4744,Miami,New York,2019-12-20
4745,Phoenix,Houston,2019-12-21
4746,San Antonio,LA Clippers,2019-12-21
4747,Portland,Minnesota,2019-12-21
4748,Memphis,Sacramento,2019-12-21
4749,Detroit,Chicago,2019-12-21
4750,Charlotte,Utah,2019-12-21
4751,Philadelphia,Washington,2019-12-21
4752,Brooklyn,Atlanta,2019-12-21
4753,New York,Milwaukee,2019-12-21
4754,Toronto,Dallas,2019-12-22
4755,LA Lakers,Denver,2019-12-22
4756,Okla City,LA Clippers,2019-12-22
4757,Milwaukee,Indiana,2019-12-22
4758,Boston,Charlotte,2019-12-22
4759,Indiana,Toronto,2019-12-23
4760,Miami,Utah,2019-12-23
4761,Sacramento,Houston,2019-12-23
4762,Phoenix,Denver,2019-12-23
4763,Detroit,Philadelphia,2019-12-23
4764,Orlando,Chicago,2019-12-23
4765,Portland,New Orleans,2019-12-23
4766,Memphis,San Antonio,2019-12-23
4767,Golden State,Minnesota,2019-12-23
4768,New York,Washington,2019-12-23
4769,Cleveland,Atlanta,2019-12-23
4770,LA Lakers,LA Clippers,2019-12-25
4771,Toronto,Boston,2019-12-25
4772,Philadelphia,Milwaukee,2019-12-25
4773,Denver,New Orleans,2019-12-25
4774,Golden State,Houston,2019-12-25
4775,Utah,Portland,2019-12-26
4776,Sacramento,Minnesota,2019-12-26
4777,Dallas,San Antonio,2019-12-26
4778,Detroit,Washington,2019-12-26
4779,Okla City,Memphis,2019-12-26
4780,Brooklyn,New York,2019-12-26
4781,Miami,Indiana,2019-12-27
4782,Orlando,Philadelphia,2019-12-27
4783,Charlotte,Okla City,2019-12-27
4784,Golden State,Phoenix,2019-12-27
4785,Atlanta,Milwaukee,2019-12-27
4786,Boston,Cleveland,2019-12-27
4787,Boston,Toronto,2019-12-28
4788,Miami,Philadelphia,2019-12-28
4789,LA Clippers,Utah,2019-12-28
4790,Portland,LA Lakers,2019-12-28
4791,Houston,Brooklyn,2019-12-28
4792,Sacramento,Phoenix,2019-12-28
4793,San Antonio,Detroit,2019-12-28
4794,New Orleans,Indiana,2019-12-28
4795,Milwaukee,Orlando,2019-12-28
4796,Golden State,Dallas,2019-12-28
4797,Denver,Memphis,2019-12-28
4798,Minnesota,Cleveland,2019-12-28
4799,Chicago,Atlanta,2019-12-28
4800,Washington,New York,2019-12-28
4801,LA Lakers,Dallas,2019-12-29
4802,Toronto,Okla City,2019-12-29
4803,New Orleans,Houston,2019-12-29
4804,Denver,Sacramento,2019-12-29
4805,Memphis,Charlotte,2019-12-29
4806,Portland,Phoenix,2019-12-30
4807,Minnesota,Brooklyn,2019-12-30
4808,Utah,Detroit,2019-12-30
4809,Chicago,Milwaukee,2019-12-30
4810,Washington,Miami,2019-12-30
4811,Orlando,Atlanta,2019-12-30
4812,Houston,Denver,2019-12-31
4813,Indiana,Philadelphia,2019-12-31
4814,Okla City,Dallas,2019-12-31
4815,Sacramento,LA Clippers,2019-12-31
4816,San Antonio,Golden State,2019-12-31
4817,Charlotte,Boston,2019-12-31
4818,Toronto,Cleveland,2019-12-31
4819,Washington,Orlando,2020-01-01
4820,LA Lakers,Phoenix,2020-01-01
4821,New York,Portland,2020-01-01
4822,Milwaukee,Minnesota,2020-01-01
4823,Miami,Toronto,2020-01-02
4824,Indiana,Denver,2020-01-02
4825,San Antonio,Okla City,2020-01-02
4826,Chicago,Utah,2020-01-02
4827,Dallas,Brooklyn,2020-01-02
4828,LA Clippers,Detroit,2020-01-02
4829,Sacramento,Memphis,2020-01-02
4830,Minnesota,Golden State,2020-01-02
4831,Cleveland,Charlotte,2020-01-02
4832,Houston,Philadelphia,2020-01-03
4833,Orlando,Miami,2020-01-03
4834,Washington,Portland,2020-01-03
4835,LA Lakers,New Orleans,2020-01-03
4836,Phoenix,New York,2020-01-03
4837,Boston,Atlanta,2020-01-03
4838,Orlando,Utah,2020-01-04
4839,Brooklyn,Toronto,2020-01-04
4840,Sacramento,New Orleans,2020-01-04
4841,Chicago,Boston,2020-01-04
4842,Washington,Denver,2020-01-04
4843,Golden State,Detroit,2020-01-04
4844,Milwaukee,San Antonio,2020-01-04
4845,LA Clippers,Memphis,2020-01-04
4846,Cleveland,Okla City,2020-01-04
4847,Atlanta,Indiana,2020-01-04
4848,Dallas,Charlotte,2020-01-04
4849,Miami,Portland,2020-01-05
4850,Phoenix,Memphis,2020-01-05
4851,LA Lakers,Detroit,2020-01-05
4852,Cleveland,Minnesota,2020-01-05
4853,LA Clippers,New York,2020-01-05
4854,Philadelphia,Okla City,2020-01-06
4855,New Orleans,Utah,2020-01-06
4856,Orlando,Brooklyn,2020-01-06
4857,San Antonio,Milwaukee,2020-01-06
4858,Dallas,Chicago,2020-01-06
4859,Washington,Boston,2020-01-06
4860,Charlotte,Indiana,2020-01-06
4861,Atlanta,Denver,2020-01-06
4862,Sacramento,Golden State,2020-01-06
4863,Brooklyn,Okla City,2020-01-07
4864,Toronto,Portland,2020-01-07
4865,Phoenix,Sacramento,2020-01-07
4866,Memphis,Minnesota,2020-01-07
4867,Cleveland,Detroit,2020-01-07
4868,LA Lakers,New York,2020-01-07
4869,Dallas,Denver,2020-01-08
4870,Indiana,Miami,2020-01-08
4871,Boston,San Antonio,2020-01-08
4872,New Orleans,Chicago,2020-01-08
4873,Orlando,Washington,2020-01-08
4874,Charlotte,Toronto,2020-01-08
4875,Atlanta,Houston,2020-01-08
4876,Utah,New York,2020-01-08
4877,Golden State,Milwaukee,2020-01-08
4878,Philadelphia,Boston,2020-01-09
4879,Okla City,Houston,2020-01-09
4880,Minnesota,Portland,2020-01-09
4881,Detroit,Cleveland,2020-01-09
4882,Dallas,LA Lakers,2020-01-10
4883,Phoenix,Orlando,2020-01-10
4884,Memphis,San Antonio,2020-01-10
4885,Brooklyn,Miami,2020-01-10
4886,Chicago,Indiana,2020-01-10
4887,Sacramento,Milwaukee,2020-01-10
4888,New York,New Orleans,2020-01-10
4889,LA Clippers,Golden State,2020-01-10
4890,Utah,Charlotte,2020-01-10
4891,Washington,Atlanta,2020-01-10
4892,Dallas,Philadelphia,2020-01-11
4893,Okla City,LA Lakers,2020-01-11
4894,Portland,Milwaukee,2020-01-11
4895,Boston,New Orleans,2020-01-11
4896,Houston,Minnesota,2020-01-11
4897,Detroit,Chicago,2020-01-11
4898,Denver,Cleveland,2020-01-11
4899,Denver,LA Clippers,2020-01-12
4900,Toronto,San Antonio,2020-01-12
4901,Washington,Utah,2020-01-12
4902,Phoenix,Charlotte,2020-01-12
4903,New York,Miami,2020-01-12
4904,Brooklyn,Atlanta,2020-01-12
4905,Memphis,Golden State,2020-01-12
4906,Indiana,Philadelphia,2020-01-13
4907,Sacramento,Orlando,2020-01-13
4908,Minnesota,Okla City,2020-01-13
4909,Detroit,New Orleans,2020-01-13
4910,Boston,Chicago,2020-01-13
4911,Portland,Charlotte,2020-01-13
4912,LA Lakers,Cleveland,2020-01-13
4913,Brooklyn,Utah,2020-01-14
4914,Memphis,Houston,2020-01-14
4915,Golden State,Dallas,2020-01-14
4916,Atlanta,Phoenix,2020-01-14
4917,LA Clippers,Cleveland,2020-01-14
4918,Milwaukee,New York,2020-01-14
4919,Okla City,Toronto,2020-01-15
4920,Houston,Portland,2020-01-15
4921,Sacramento,Dallas,2020-01-15
4922,Miami,San Antonio,2020-01-15
4923,LA Lakers,Orlando,2020-01-15
4924,Minnesota,Indiana,2020-01-15
4925,Philadelphia,Brooklyn,2020-01-15
4926,Boston,Detroit,2020-01-15
4927,Chicago,Washington,2020-01-15
4928,Denver,Charlotte,2020-01-15
4929,Milwaukee,Boston,2020-01-16
4930,LA Clippers,Orlando,2020-01-16
4931,New Orleans,Utah,2020-01-16
4932,New York,Phoenix,2020-01-16
4933,Golden State,Denver,2020-01-16
4934,Okla City,Miami,2020-01-17
4935,Dallas,Portland,2020-01-17
4936,Indiana,Minnesota,2020-01-17
4937,Philadelphia,Chicago,2020-01-17
4938,Toronto,Washington,2020-01-17
4939,San Antonio,Atlanta,2020-01-17
4940,Memphis,Cleveland,2020-01-17
4941,Houston,LA Lakers,2020-01-18
4942,New Orleans,LA Clippers,2020-01-18
4943,Okla City,Portland,2020-01-18
4944,Minnesota,Toronto,2020-01-18
4945,Boston,Phoenix,2020-01-18
4946,Brooklyn,Milwaukee,2020-01-18
4947,Utah,Sacramento,2020-01-18
4948,Golden State,Orlando,2020-01-18
4949,New York,Philadelphia,2020-01-18
4950,Atlanta,Detroit,2020-01-18
4951,Chicago,Cleveland,2020-01-18
4952,Denver,Indiana,2020-01-19
4953,San Antonio,Miami,2020-01-19
4954,Boston,LA Lakers,2020-01-20
4955,Houston,Okla City,2020-01-20
4956,Utah,Indiana,2020-01-20
4957,Phoenix,San Antonio,2020-01-20
4958,Brooklyn,Philadelphia,2020-01-20
4959,Minnesota,Denver,2020-01-20
4960,Memphis,New Orleans,2020-01-20
4961,Charlotte,Orlando,2020-01-20
4962,Miami,Sacramento,2020-01-20
4963,Washington,Detroit,2020-01-20
4964,Portland,Golden State,2020-01-20
4965,Atlanta,Toronto,2020-01-20
4966,Milwaukee,Chicago,2020-01-20
4967,Cleveland,New York,2020-01-20
4968,Dallas,LA Clippers,2020-01-21
4969,Houston,Denver,2020-01-22
4970,Toronto,Philadelphia,2020-01-22
4971,Orlando,Okla City,2020-01-22
4972,Phoenix,Indiana,2020-01-22
4973,New Orleans,San Antonio,2020-01-22
4974,Detroit,Sacramento,2020-01-22
4975,Boston,Memphis,2020-01-22
4976,Chicago,Minnesota,2020-01-22
4977,Golden State,Utah,2020-01-22
4978,Miami,Washington,2020-01-22
4979,Atlanta,LA Clippers,2020-01-22
4980,New York,LA Lakers,2020-01-22
4981,Portland,Dallas,2020-01-23
4982,Brooklyn,LA Lakers,2020-01-23
4983,Cleveland,Washington,2020-01-23
4984,Miami,LA Clippers,2020-01-24
4985,Orlando,Boston,2020-01-24
4986,New Orleans,Denver,2020-01-24
4987,Minnesota,Houston,2020-01-24
4988,San Antonio,Phoenix,2020-01-24
4989,Detroit,Memphis,2020-01-24
4990,Chicago,Sacramento,2020-01-24
4991,Golden State,Indiana,2020-01-24
4992,New York,Toronto,2020-01-24
4993,Okla City,Atlanta,2020-01-24
4994,Charlotte,Milwaukee,2020-01-24
4995,Utah,Dallas,2020-01-25
4996,Philadelphia,LA Lakers,2020-01-25
4997,Detroit,Brooklyn,2020-01-25
4998,Minnesota,Okla City,2020-01-25
4999,Cleveland,Chicago,2020-01-25
5000,Denver,Houston,2020-01-26
5001,Orlando,LA Clippers,2020-01-26
5002,San Antonio,Toronto,2020-01-26
5003,New Orleans,Boston,2020-01-26
5004,Portland,Indiana,2020-01-26
5005,Memphis,Phoenix,2020-01-26
5006,New York,Brooklyn,2020-01-26
5007,Atlanta,Washington,2020-01-26
5008,Okla City,Dallas,2020-01-27
5009,Utah,Houston,2020-01-27
5010,Miami,Orlando,2020-01-27
5011,Chicago,San Antonio,2020-01-27
5012,Minnesota,Sacramento,2020-01-27
5013,Detroit,Cleveland,2020-01-27
5014,LA Lakers,LA Clippers,2020-01-28
5015,Miami,Boston,2020-01-28
5016,Memphis,Denver,2020-01-28
5017,Dallas,Phoenix,2020-01-28
5018,Cleveland,New Orleans,2020-01-28
5019,Philadelphia,Golden State,2020-01-28
5020,Charlotte,New York,2020-01-28
5021,Milwaukee,Washington,2020-01-28
5022,Toronto,Atlanta,2020-01-28
5023,San Antonio,Utah,2020-01-29
5024,Portland,Houston,2020-01-29
5025,Sacramento,Okla City,2020-01-29
5026,Indiana,Chicago,2020-01-29
5027,Brooklyn,Detroit,2020-01-29
5028,New York,Memphis,2020-01-29
5029,Denver,Utah,2020-01-30
5030,LA Clippers,Sacramento,2020-01-30
5031,Atlanta,Philadelphia,2020-01-30
5032,Boston,Golden State,2020-01-30
5033,Cleveland,Toronto,2020-01-30
5034,Washington,Charlotte,2020-01-30
5035,Houston,Dallas,2020-01-31
5036,Milwaukee,Denver,2020-01-31
5037,Phoenix,Okla City,2020-01-31
5038,LA Lakers,Portland,2020-01-31
5039,New Orleans,Memphis,2020-01-31
5040,Detroit,Toronto,2020-01-31
5041,Brooklyn,Chicago,2020-01-31
5042,Boston,Philadelphia,2020-02-01
5043,Portland,Utah,2020-02-01
5044,Orlando,Miami,2020-02-01
5045,Sacramento,LA Lakers,2020-02-01
5046,LA Clippers,Minnesota,2020-02-01
5047,Washington,Brooklyn,2020-02-01
5048,Dallas,Atlanta,2020-02-01
5049,San Antonio,Charlotte,2020-02-01
5050,Indiana,New York,2020-02-01
5051,Cleveland,Golden State,2020-02-01
5052,Houston,New Orleans,2020-02-02
5053,Detroit,Denver,2020-02-02
5054,Milwaukee,Phoenix,2020-02-02
5055,Toronto,Chicago,2020-02-02
5056,Indiana,Dallas,2020-02-03
5057,Miami,Philadelphia,2020-02-03
5058,LA Clippers,San Antonio,2020-02-03
5059,Brooklyn,Phoenix,2020-02-03
5060,Sacramento,Minnesota,2020-02-03
5061,Atlanta,Boston,2020-02-03
5062,Charlotte,Orlando,2020-02-03
5063,Memphis,Detroit,2020-02-03
5064,Washington,Golden State,2020-02-03
5065,Cleveland,New York,2020-02-03
5066,Denver,Portland,2020-02-04
5067,New Orleans,Milwaukee,2020-02-04
5068,LA Lakers,San Antonio,2020-02-04
5069,Houston,Charlotte,2020-02-04
5070,LA Clippers,Miami,2020-02-05
5071,Utah,Denver,2020-02-05
5072,Toronto,Indiana,2020-02-05
5073,Boston,Orlando,2020-02-05
5074,Dallas,Memphis,2020-02-05
5075,Detroit,Phoenix,2020-02-05
5076,Brooklyn,Golden State,2020-02-05
5077,Minnesota,Atlanta,2020-02-05
5078,Okla City,Cleveland,2020-02-05
5079,LA Lakers,Houston,2020-02-06
5080,Portland,San Antonio,2020-02-06
5081,Milwaukee,Philadelphia,2020-02-06
5082,Chicago,New Orleans,2020-02-06
5083,New York,Orlando,2020-02-06
